Vstup;Trh;Shares;Vstup_cena;Vystup;Vystup_cena;Komise;P/L
02.11.2021;AON;2.0;307.44;;;0.370657;
02.11.2021;BR;4.0;177.98;;;0.370657;
02.11.2021;CRWD;3.0;266.58;;;0.370657;
02.11.2021;MMC;5.0;163.33;;;0.370657;
02.11.2021;ORCL;8.0;93.73;;;0.370657;
03.11.2021;ABR;38.0;19.56;;;0.312257;
03.11.2021;ESTC;4.0;171.05;;;0.346257;
03.11.2021;HUBS;1.0;787.33;;;0.349257;
03.11.2021;PNC;4.0;209.18;;;0.355057;
03.11.2021;UPS;4.0;208.8;;;0.355057;
04.11.2021;AJG;5.0;161.31;NaN;NaN;0.345257;NaN
04.11.2021;CSV;16.0;48.6;NaN;NaN;0.334257;NaN
04.11.2021;MGY;37.0;20.9;NaN;NaN;0.313257;NaN
04.11.2021;NSP;6.0;122.04;NaN;NaN;0.344257;NaN
04.11.2021;TEAM;2.0;444.11;NaN;NaN;0.353657;NaN
