;cas;ticker;smer;pocet;cena;komise;orderRef
0;10.13.2021;GDP;SLD;34.0;22.76;0.38205;Mopul
1;10.13.2021;UMPQ;BOT;38.0;19.69;0.414857;Mopul
2;10.13.2021;GOGO;SLD;50.0;16.24;0.265348;Mopul
3;10.13.2021;CRK;BOT;77.0;9.59;0.442657;Mopul
4;10.13.2021;SFBS;SLD;10.0;74.25;0.345234;Mopul
5;10.13.2021;RMNI;BOT;76.0;9.86;0.205857;Mopul
6;10.13.2021;SEAS;BOT;13.0;58.5;0.337257;Mopul
7;10.13.2021;MUSA;BOT;5.0;161.64;0.345257;Mopul
8;10.13.2021;PAG;SLD;1.0;102.42;0.349899;Mopul
9;10.13.2021;PAG;SLD;6.0;102.42;-0.002152;Mopul
